date,Adj Close,Volume,Adj Close_s&p500,Volume_s&p500,SMA_20,SMA_50,RSI,MACD,Signal_Line,P_mean,P_sum,twt_count,NFLX_Returns,SP500_Returns,Relative_Performance
2020-04-22,421.42,21084800,2799.3101,5084920000,389.542,371.982,68.259,20.184,15.28,-0.0806,-109,1353,0,0.0229302473568915,-0.051535922390891
2020-04-23,426.7,13952300,2797.8,5773530000,393.758,373.043,68.113,19.985,16.221,-0.0542,-37,683,1,-0.0005394543462691,0.0130685227341007
2020-04-24,424.99,8658900,2836.74,5382810000,396.858,373.942,71.12,19.465,16.87,-0.0824,-37,449,0,0.0139180784902421,-0.0179255779043504
2020-04-27,421.38,6277500,2878.48,5203930000,400.071,374.742,65.329,18.547,17.205,-0.0519,-21,405,0,0.0147140731966977,-0.0232083907100509
2020-04-28,403.83,10101200,2863.3899,5691160000,401.714,375.21,60.882,16.217,17.008,-0.1107,-64,578,0,-0.0052423848697923,-0.0364064831353336
2020-04-29,411.89,9693100,2939.51,6645640000,403.534,375.693,63.423,14.85,16.576,0.0,0,501,1,0.026583910210761,-0.0066250166169219
2020-04-30,419.85,7954000,2912.4299,6544980000,406.322,376.366,65.408,14.244,16.11,-0.0513,-23,448,1,-0.0092124537763097,0.0285380018595359
2020-05-01,415.27,8299900,2830.71,4759810000,408.582,376.951,56.721,13.242,15.536,-0.0297,-12,404,0,-0.02805901010699,0.0171503522529945
2020-05-04,428.15,7799100,2842.74,4735930000,411.902,377.913,55.445,13.333,15.096,-0.0204,-11,539,1,0.0042498171836746,0.0267661483327363
2020-05-05,424.68,6286300,2868.4399,5140290000,414.138,379.032,49.168,12.976,14.672,-0.0758,-40,528,0,0.0090405383538416,-0.0171451745794634
2020-05-06,434.26,6660700,2848.4199,4892570000,417.236,380.516,47.979,13.313,14.4,-0.062,-34,548,1,-0.00697940368212,0.0295375651213212
2020-05-07,436.53,5641900,2881.1899,5178790000,420.507,381.662,56.309,13.606,14.241,-0.0566,-24,424,1,0.0115046240197942,-0.0062773408253946
2020-05-08,435.55,5049300,2929.8,4876030000,423.748,382.938,48.968,13.602,14.113,-0.0599,-22,367,0,0.0168715363051912,-0.019116513740877
2020-05-11,440.52,5486000,2930.1899,4819730000,425.938,384.368,53.51,13.841,14.059,-0.0475,-20,421,1,0.0001330807563655,0.0112777790760301
2020-05-12,431.82,4598200,2870.1201,5119630000,426.852,385.384,55.677,13.176,13.882,-0.0325,-15,462,0,-0.0205003095533159,0.000750922465329
2020-05-13,438.27,7014600,2820.0,6151650000,427.428,386.774,56.236,13.019,13.71,-0.0983,-51,519,1,-0.0174627187203769,0.0323994979339382
2020-05-14,441.95,9007500,2852.5,5651130000,427.567,387.937,58.951,13.042,13.576,-0.0399,-25,627,1,0.0115248226950355,-0.0031281722284282
