date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pe_ratio,pb_ratio,roe,fcf,NFLX_Returns
2021-01-20,586.34,32637500,517.576,505.658,63.838,3.891,0.933,1.19,454.395,12.326,0.025,-286028000.0,1
2021-01-21,579.84,11802100,520.123,506.96,63.768,8.473,2.441,1.19,454.395,12.189,0.025,-286028000.0,0
2021-01-22,565.17,7550800,522.015,508.853,56.135,10.796,4.112,1.19,454.395,11.881,0.025,-286028000.0,0
2021-01-25,556.78,7207300,524.13,510.384,58.94,11.824,5.654,1.19,454.395,11.704,0.025,-286028000.0,0
2021-01-26,561.93,5023800,526.528,511.807,60.667,12.905,7.105,1.19,454.395,11.813,0.025,-286028000.0,1
2021-01-27,523.28,8670300,526.736,512.538,55.397,10.522,7.788,1.19,454.395,11.0,0.025,-286028000.0,0
2021-01-28,538.6,5969000,527.123,513.653,56.813,9.757,8.182,1.19,454.395,11.322,0.025,-286028000.0,1
2021-01-29,532.39,4325300,527.512,514.719,54.936,8.551,8.256,1.19,454.395,11.192,0.025,-286028000.0,0
2021-02-01,539.04,3547500,527.428,515.887,59.156,8.04,8.213,1.19,454.395,11.332,0.025,-286028000.0,1
2021-02-02,548.16,3767600,528.693,517.214,62.122,8.275,8.225,1.19,454.395,11.523,0.025,-286028000.0,1
2021-02-03,539.45,3172300,529.626,518.31,57.277,7.67,8.114,1.19,454.395,11.34,0.025,-286028000.0,0
2021-02-04,552.16,5164500,532.209,519.588,61.486,8.122,8.116,1.19,454.395,11.607,0.025,-286028000.0,1
2021-02-05,550.79,2376200,534.304,521.072,61.904,8.275,8.147,1.19,454.395,11.579,0.025,-286028000.0,0
2021-02-08,547.92,2791700,536.18,522.372,60.446,8.071,8.132,1.19,454.395,11.518,0.025,-286028000.0,0
2021-02-09,559.07,3703500,539.178,523.854,40.754,8.709,8.248,1.19,454.395,11.753,0.025,-286028000.0,1
2021-02-10,563.59,3991300,542.646,525.298,44.415,9.47,8.492,1.19,454.395,11.848,0.025,-286028000.0,1
2021-02-11,557.59,2730600,545.136,526.636,47.23,9.48,8.69,1.19,454.395,11.721,0.025,-286028000.0,0
2021-02-12,556.52,2197100,547.918,527.675,49.9,9.294,8.811,1.19,454.395,11.699,0.025,-286028000.0,0
2021-02-16,557.28,2624100,550.884,528.753,48.142,9.103,8.869,1.19,454.395,11.715,0.025,-286028000.0,1
2021-02-17,551.34,2069600,553.362,529.829,65.184,8.376,8.771,1.19,454.395,11.59,0.025,-286028000.0,0
2021-02-18,548.22,2456200,551.456,530.828,55.998,7.462,8.509,1.19,454.395,11.524,0.025,-286028000.0,0
2021-02-19,540.22,2841500,549.475,531.316,54.775,6.023,8.012,1.19,454.395,11.356,0.025,-286028000.0,0
2021-02-22,533.78,3078600,547.906,531.739,46.784,4.313,7.272,1.19,454.395,11.221,0.025,-286028000.0,0
2021-02-23,546.15,4136500,547.374,532.79,48.818,3.911,6.6,1.19,454.395,11.481,0.025,-286028000.0,1
2021-02-24,553.41,3245000,546.948,533.836,58.351,4.13,6.106,1.19,454.395,11.634,0.025,-286028000.0,1
2021-02-25,546.7,4252900,548.119,534.706,46.481,3.72,5.629,1.19,454.395,11.493,0.025,-286028000.0,0
2021-02-26,538.85,3755600,548.132,535.034,42.898,2.73,5.049,1.19,454.395,11.328,0.025,-286028000.0,0
2021-03-01,550.64,3041400,549.044,535.652,51.463,2.864,4.612,1.19,454.395,11.575,0.025,-286028000.0,1
2021-03-02,547.82,3042200,549.483,536.111,43.355,2.711,4.232,1.19,454.395,11.516,0.025,-286028000.0,0
2021-03-03,520.7,5362400,548.11,535.867,30.005,0.397,3.465,1.19,454.395,10.946,0.025,-286028000.0,0
2021-03-04,511.29,5034800,546.702,535.404,29.08,-2.172,2.337,1.19,454.395,10.748,0.025,-286028000.0,0
2021-03-05,516.39,5070000,544.914,535.154,32.505,-3.752,1.12,1.19,454.395,10.855,0.025,-286028000.0,1
2021-03-08,493.33,3981800,542.04,534.474,26.659,-6.787,-0.462,1.19,454.395,10.371,0.025,-286028000.0,0
2021-03-09,506.44,3470000,539.966,534.313,34.427,-8.042,-1.978,1.19,454.395,10.646,0.025,-286028000.0,1
2021-03-10,504.54,3771500,537.24,534.124,34.721,-9.085,-3.399,1.19,454.395,10.606,0.025,-286028000.0,0
