date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count
2021-10-27,662.92,2276900,636.612,600.796,65.122,18.917,16.979,3.19,13.935673743956274,191.32915360501568,0.0670590708429682,-84948000.0,-0.0634,-17,268
2021-10-28,674.05,2859400,639.797,603.839,68.306,19.559,17.495,3.19,14.169644734076098,191.32915360501568,0.0670590708429682,-84948000.0,-0.0907,-34,375
2021-10-29,690.31,3825300,643.656,606.771,75.576,21.137,18.223,3.19,14.51145680050452,191.32915360501568,0.0670590708429682,-84948000.0,0.0184,9,488
2021-11-01,681.17,3110900,647.546,609.457,71.506,21.402,18.859,3.19,14.319318898465418,191.32915360501568,0.0670590708429682,-84948000.0,-0.0723,-24,332
2021-11-02,677.72,3888600,649.692,611.945,68.537,21.091,19.306,3.19,14.246794198023965,191.32915360501568,0.0670590708429682,-84948000.0,-0.0809,-38,470
2021-11-03,688.29,2334900,652.152,614.643,70.049,21.451,19.735,3.19,14.46899306285474,191.32915360501568,0.0670590708429682,-84948000.0,-0.0524,-21,401
2021-11-04,668.4,4865000,653.979,617.059,63.346,19.901,19.768,3.19,14.050872398570528,191.32915360501568,0.0670590708429682,-84948000.0,-0.0608,-22,362
2021-11-05,645.72,5283500,654.632,618.971,52.373,16.651,19.144,3.19,13.574101324364095,191.32915360501568,0.0670590708429682,-84948000.0,-0.0594,-18,303
2021-11-08,651.45,2887500,655.852,620.822,53.706,14.372,18.19,3.19,13.694555392053816,191.32915360501568,0.0670590708429682,-84948000.0,-0.0356,-11,309
2021-11-09,655.99,2415600,657.405,622.618,59.723,12.785,17.109,3.19,13.789993693504307,191.32915360501568,0.0670590708429682,-84948000.0,-0.029,-11,379
2021-11-10,646.91,2405800,658.262,624.172,47.763,10.671,15.821,3.19,13.59911709060332,191.32915360501568,0.0670590708429682,-84948000.0,-0.1182,-35,296
2021-11-11,657.58,2868300,659.452,625.682,47.406,9.745,14.606,3.19,13.823418120664284,191.32915360501568,0.0670590708429682,-84948000.0,-0.1073,-47,438
2021-11-12,682.61,4198400,662.167,627.564,53.489,10.904,13.866,3.19,14.349590077780114,191.32915360501568,0.0670590708429682,-84948000.0,-0.0357,-16,448
2021-11-15,679.33,2872200,664.236,629.34,53.442,11.427,13.378,3.19,14.280639058229978,191.32915360501568,0.0670590708429682,-84948000.0,-0.0073,-3,413
2021-11-16,687.4,2077400,666.656,630.953,57.673,12.35,13.172,3.19,14.450283792306074,191.32915360501568,0.0670590708429682,-84948000.0,-0.0658,-21,319
2021-11-17,691.69,2732800,669.983,632.666,55.777,13.275,13.193,3.19,14.540466680681105,191.32915360501568,0.0670590708429682,-84948000.0,-0.0261,-11,421
2021-11-18,682.02,2012900,671.426,634.356,47.163,13.077,13.17,3.19,14.33718730292201,191.32915360501568,0.0670590708429682,-84948000.0,-0.1058,-38,359
2021-11-19,678.8,2613700,672.127,635.957,49.155,12.516,13.039,3.19,14.269497582509985,191.32915360501568,0.0670590708429682,-84948000.0,-0.0643,-18,280
